zoneID,POIcount,topic1,topic2,topic3
0,72,2,8,
1,877,4,1,
2,83,4,3,
3,62,2,8,
4,335,2,6,
5,332,4,1,
6,44,2,6,
7,467,2,8,
8,351,2,6,
9,466,2,8,
10,367,2,6,
11,2669,2,6,
12,56,2,6,
13,234,4,3,7
14,323,3,,
15,191,4,1,
16,183,3,,
17,358,2,6,
18,207,3,,
19,99,4,1,
20,1771,3,,
21,299,2,8,
22,155,4,3,
23,113,4,1,
24,74,4,1,
25,1034,3,,
26,565,4,3,
27,732,4,1,
28,186,4,1,
29,201,4,1,
30,102,4,1,
31,108,4,1,
32,306,3,,
33,232,4,1,
34,479,2,8,
35,131,4,3,7
36,189,4,1,
37,386,2,6,
38,181,4,1,
39,164,4,1,
40,76,2,6,
41,367,2,6,
42,676,2,8,
43,248,4,3,
44,549,4,3,
45,759,4,1,
46,529,4,1,
47,370,4,1,
48,297,4,1,
49,341,4,1,
50,127,4,3,
51,222,2,6,
52,867,3,,
53,15,3,,
54,537,3,,
55,729,4,3,
56,459,4,3,
57,137,4,3,
58,533,3,,
59,22,4,1,
60,211,4,1,
61,295,4,1,
62,7,3,,
63,523,4,3,
64,123,4,3,
65,30,2,8,
66,30,2,6,
67,291,4,1,
68,40,4,1,
69,55,4,3,
70,241,2,6,
71,779,4,3,
72,301,4,1,
73,55,2,8,
74,266,3,,
75,1099,4,3,
76,135,3,,
77,804,3,,
78,73,3,,
79,381,4,3,
80,273,4,3,
81,848,4,3,
82,193,2,8,
83,345,4,1,
84,134,4,3,7
85,1753,3,,
86,392,4,3,
87,1177,3,,
88,734,4,3,
89,779,4,1,
90,566,4,1,
91,786,4,3,7
92,195,0,,
93,215,4,3,7
94,372,4,1,
95,167,4,1,
96,137,4,1,
97,135,4,3,
98,637,4,1,
99,310,4,1,
100,250,4,1,
101,295,4,1,
102,393,4,3,
103,849,4,3,7
104,282,3,,
105,1696,5,,
106,433,4,1,
107,101,4,3,
108,140,4,3,
109,347,4,1,
110,112,4,1,
111,519,4,3,
112,349,4,3,
113,846,4,3,
114,434,4,1,
115,462,4,1,
116,734,4,1,
117,843,4,3,7
118,1750,3,,
119,258,4,1,
120,303,4,1,
121,242,4,1,
122,194,2,8,
123,272,4,1,
124,183,4,1,
125,432,4,1,
126,504,4,1,
127,333,2,8,
128,41,4,1,
129,90,4,1,
130,383,4,1,
131,210,4,1,
132,297,4,1,
133,161,4,1,
134,194,4,1,
135,185,4,3,
136,185,4,1,
137,277,4,1,
138,66,2,8,
139,120,4,1,
140,231,4,1,
141,277,4,1,
142,236,2,8,
143,297,2,8,
144,162,5,,
145,1108,3,,
146,396,2,8,
147,267,4,1,
148,175,5,,
149,97,5,,
150,984,4,1,
151,469,5,,
152,406,4,3,
153,135,4,1,
154,1090,0,,
155,38,3,,
156,408,4,1,
157,472,4,3,
158,199,4,1,
159,108,4,3,
160,630,2,8,
161,248,4,1,
162,157,4,1,
163,219,4,1,
164,341,4,3,
165,69,3,,
166,76,4,3,
167,123,4,3,
168,258,4,1,
169,876,4,3,
170,223,4,3,
171,255,4,3,
172,317,4,3,
173,969,4,3,
174,286,4,1,
175,372,4,3,
176,391,4,3,
177,483,4,1,
178,380,4,1,
179,140,4,1,
180,347,3,,
181,540,2,8,
182,481,2,8,
183,504,4,3,
184,468,4,3,
185,341,4,3,7
186,269,4,3,
187,510,4,3,
188,380,4,3,7
189,817,4,3,
190,368,4,3,7
191,64,0,,
192,337,4,1,
193,361,0,,
194,220,3,,
195,354,4,1,
196,173,4,3,7
197,315,4,1,
198,457,4,3,7
199,122,4,1,
200,858,3,,
201,210,4,1,
202,132,4,3,
203,147,4,3,7
204,190,4,3,
205,177,0,,
206,463,4,3,
207,307,4,3,7
208,412,4,1,
209,447,3,,
210,450,3,,
211,429,3,,
212,643,3,,
213,67,3,,
214,681,3,,
215,156,4,3,7
216,303,4,1,
217,265,4,3,7
218,141,3,,
219,431,3,,
220,36,3,,
221,576,4,3,
222,112,4,1,
223,10,3,,
224,57,2,8,
225,497,4,3,
226,67,4,1,
227,161,3,,
228,74,4,3,7
229,649,3,,
230,585,3,,
231,384,4,3,
232,316,4,1,
233,138,4,1,
234,611,3,,
235,850,4,3,
236,456,4,1,
237,192,4,3,
238,27,4,1,
239,266,4,1,
240,279,3,,
241,249,4,1,
242,906,2,8,
243,341,4,1,
244,256,4,3,
245,631,4,1,
246,266,4,3,
247,255,3,,
248,324,3,,
249,150,4,1,
250,80,4,1,
251,60,4,1,
252,113,3,,
253,83,4,1,
254,37,4,1,
255,23,3,,
256,350,4,3,
257,629,4,1,
258,38,4,1,
259,51,4,1,
260,270,3,,
261,224,3,,
262,85,4,1,
263,296,4,3,
264,241,3,,
265,174,4,1,
266,560,4,1,
267,449,2,6,
268,216,0,,
269,929,2,8,
270,107,2,8,
271,359,4,1,
272,47,2,8,
273,126,4,3,
274,1050,2,8,
275,159,4,3,
276,86,2,8,
277,17,4,1,
278,15,0,,
279,1967,3,,
280,212,4,1,
281,219,3,,
282,161,3,,
283,222,2,8,
284,81,2,8,
285,224,4,1,
286,307,4,1,
287,129,4,1,
288,40,3,,
289,124,4,3,
290,50,4,1,
291,26,2,8,
292,1099,2,8,
293,476,2,8,
294,825,2,8,
295,164,4,3,
296,3,3,,
297,997,2,8,
298,840,2,8,
299,214,2,6,
300,1441,2,6,
301,68,0,,
302,88,4,3,
303,43,4,1,
304,249,2,8,
305,294,4,1,
306,491,3,,
307,631,4,3,
308,336,3,,
309,800,3,,
310,418,3,,
311,132,3,,
312,88,4,3,
313,145,4,1,
314,89,3,,
315,1751,5,,
316,308,3,,
317,599,4,3,
318,147,5,,
319,667,3,,
320,296,4,1,
321,505,3,,
322,1089,3,,
323,69,5,,
324,69,5,,
325,118,4,1,
326,86,4,3,
327,54,3,,
328,182,4,3,
329,430,3,,
330,217,4,3,
331,13,3,,
332,1658,4,3,
333,45,4,1,
334,133,4,3,
335,1278,3,,
336,235,4,1,
337,63,4,3,
338,517,3,,
339,88,4,1,
340,108,4,1,
341,266,4,3,
342,352,3,,
343,213,2,8,
344,66,4,1,
345,202,4,3,
346,237,4,1,
347,257,4,1,
348,641,4,1,
349,234,4,1,
350,102,4,1,
351,750,2,8,
352,40,3,,
353,48,0,,
354,178,0,,
355,87,0,,
356,47,3,,
357,270,4,1,
358,196,2,8,
359,94,0,,
360,65,2,8,
361,33,0,,
362,191,2,8,
363,67,2,8,
364,4,2,8,
365,205,2,8,
366,72,3,,
367,474,5,,
368,1200,2,8,
369,257,4,1,
370,117,2,8,
371,314,4,3,
372,447,4,1,
373,801,4,1,
374,89,4,1,
375,442,2,8,
376,108,2,6,
377,192,2,6,
378,167,2,6,
379,196,4,3,
380,121,4,1,
381,57,3,,
382,852,2,8,
383,453,2,6,
384,531,4,1,
385,19,3,,
386,194,2,6,
387,458,4,1,
388,61,4,1,
389,196,2,8,
390,313,2,8,
391,159,4,3,
392,1181,4,3,
393,555,4,1,
394,115,3,,
395,65,4,1,
396,137,4,3,7
397,125,4,1,
398,275,4,1,
399,268,4,3,7
400,303,4,1,
401,148,4,1,
402,172,4,1,
403,268,2,8,
404,74,4,3,
405,136,4,1,
406,57,4,1,
407,20,4,1,
408,85,4,1,
409,75,4,1,
410,38,4,1,
411,75,4,1,
412,24,4,1,
413,45,4,1,
414,64,4,1,
415,1139,2,8,
416,131,4,1,
417,28,3,,
418,67,4,1,
419,214,4,1,
420,275,4,1,
421,75,4,3,
422,29,4,1,
423,21,4,1,
424,13,4,1,
425,17,4,1,
426,14,4,1,
427,131,4,1,
428,36,4,1,
429,78,4,1,
430,4,2,6,
431,64,3,,
432,125,4,3,
433,46,4,1,
434,84,4,1,
435,541,4,3,
436,123,4,1,
437,270,4,1,
438,82,4,1,
439,111,4,1,
440,332,4,1,
441,108,4,1,
442,84,3,,
443,186,4,1,
444,2,4,1,
445,53,4,1,
446,503,4,1,
447,4,3,,
448,101,4,1,
449,65,4,1,
450,173,4,1,
451,140,4,1,
452,529,4,3,
453,164,4,3,
454,130,4,1,
455,66,3,,
456,876,3,,
457,112,4,1,
458,46,4,1,
459,66,4,1,
460,182,4,1,
461,576,4,3,
462,59,4,3,
463,86,4,1,
464,93,4,1,
465,25,3,,
466,17,0,,
467,12,0,,
468,62,0,,
469,31,3,,
470,620,3,,
471,97,3,,
472,136,4,1,
473,61,4,1,
474,32,4,1,
475,53,4,3,
476,77,4,1,
477,101,4,1,
478,30,4,3,
479,19,3,,
480,45,3,,
481,91,4,1,
482,277,4,1,
483,432,3,,
484,591,5,,
485,258,4,1,
486,324,2,8,
487,273,3,,
488,221,4,1,
489,407,4,1,
490,37,4,3,
491,48,3,,
492,53,3,,
493,38,4,1,
494,495,3,,
495,169,4,3,
496,64,3,,
497,493,3,,
498,164,4,1,
499,943,3,,
500,387,4,1,
501,570,4,1,
502,446,4,1,
503,83,4,3,
504,1130,4,1,
505,37,4,1,
506,36,4,1,
507,47,4,3,
508,153,4,3,
509,152,4,1,
510,278,4,1,
511,67,4,1,
512,158,4,3,
513,104,4,1,
514,260,4,1,
515,47,4,1,
516,53,4,1,
517,17,3,,
518,85,4,1,
519,37,4,3,
520,79,4,1,
521,115,2,6,
522,58,4,3,7
523,583,4,1,
524,92,4,3,
525,889,4,1,
526,465,4,1,
527,1274,3,,
528,93,4,3,
529,42,4,1,
530,1,4,1,
531,113,4,1,
532,23,4,1,
533,228,4,1,
534,499,4,1,
535,360,3,,
536,216,4,1,
537,90,4,1,
538,21,4,1,
539,48,4,1,
540,22,4,1,
541,71,5,,
542,108,5,,
543,219,5,,
544,128,3,,
545,219,5,,
546,1440,5,,
547,137,3,,
548,347,4,3,7
549,207,4,1,
550,208,4,3,
551,73,4,1,
552,92,4,1,
553,53,3,,
554,235,4,3,7
555,123,4,1,
556,328,4,1,
557,90,4,1,
558,198,4,1,
559,604,4,3,
560,174,4,1,
561,293,4,1,
562,110,4,1,
563,234,4,3,
564,282,4,1,
565,252,2,8,
566,55,2,8,
567,35,2,8,
568,72,2,8,
569,127,2,8,
570,284,0,,
571,268,4,3,
572,176,4,1,
573,319,4,3,
574,861,3,,
575,46,2,8,
576,47,0,,
577,16,3,,
578,78,0,,
579,29,0,,
580,113,4,3,
581,155,4,1,
582,71,3,,
583,62,4,3,
584,305,4,1,
585,159,3,,
586,135,4,1,
587,539,3,,
588,204,3,,
589,204,2,8,
